ファイル名,業態,市内外,組み合わせbits,組み合わせID,組み合わせ名,採用媒体数,採用媒体一覧,媒体,Shapley準拠_接触者平均,接触率,接触者数,重み付き貢献度,広告予算配分_推奨(RAW比),広告予算配分_推奨(0%下限正規化%)
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,101,C0005,折込+フリーペーパー,2,"折込,フリーペーパー",フリーペーパー,0.760426194,0.070744289,96,73.0009146,103.5416584,100
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,110,C0006,ポスティング+フリーペーパー,2,"ポスティング,フリーペーパー",ポスティング,0.219851501,0.123802506,168,36.93505213,34.73778274,34.73778274
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,110,C0006,ポスティング+フリーペーパー,2,"ポスティング,フリーペーパー",フリーペーパー,0.722815095,0.070744289,96,69.39024908,65.26221726,65.26221726
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,111,C0007,折込+ポスティング+フリーペーパー,3,"折込,ポスティング,フリーペーパー",折込,-0.028187816,0.176860722,240,-6.765075897,-6.747932543,0
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,111,C0007,折込+ポスティング+フリーペーパー,3,"折込,ポスティング,フリーペーパー",ポスティング,0.222566292,0.123802506,168,37.391137,37.29638426,34.93874155
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,111,C0007,折込+ポスティング+フリーペーパー,3,"折込,ポスティング,フリーペーパー",フリーペーパー,0.725291587,0.070744289,96,69.62799232,69.45154828,65.06125845
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1000,C0008,web,1,web,web,0.284292947,0.179808401,244,69.36747914,100,100
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1001,C0009,折込+web,2,"折込,web",折込,0.083587752,0.176860722,240,20.06106052,21.81240299,21.81240299
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1001,C0009,折込+web,2,"折込,web",web,0.294712404,0.179808401,244,71.90982654,78.18759701,78.18759701
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1010,C0010,ポスティング+web,2,"ポスティング,web",ポスティング,0.334953305,0.123802506,168,56.2721552,42.75296603,42.75296603
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1010,C0010,ポスティング+web,2,"ポスティング,web",web,0.308809366,0.179808401,244,75.34948519,57.24703397,57.24703397
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1011,C0011,折込+ポスティング+web,3,"折込,ポスティング,web",折込,0.066122454,0.176860722,240,15.86938901,10.72003339,10.72003339
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1011,C0011,折込+ポスティング+web,3,"折込,ポスティング,web",ポスティング,0.331359674,0.123802506,168,55.66842515,37.60493714,37.60493714
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1011,C0011,折込+ポスティング+web,3,"折込,ポスティング,web",web,0.313512582,0.179808401,244,76.49707004,51.67502947,51.67502947
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1100,C0012,フリーペーパー+web,2,"フリーペーパー,web",フリーペーパー,0.79684533,0.070744289,96,76.49715171,49.91929985,49.91929985
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1100,C0012,フリーペーパー+web,2,"フリーペーパー,web",web,0.314526574,0.179808401,244,76.74448416,50.08070015,50.08070015
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1101,C0013,折込+フリーペーパー+web,3,"折込,フリーペーパー,web",折込,0.043397375,0.176860722,240,10.41537002,6.329443505,6.329443505
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1101,C0013,折込+フリーペーパー+web,3,"折込,フリーペーパー,web",フリーペーパー,0.79201508,0.070744289,96,76.03344769,46.20569509,46.20569509
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1101,C0013,折込+フリーペーパー+web,3,"折込,フリーペーパー,web",web,0.320104343,0.179808401,244,78.1054597,47.4648614,47.4648614
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1110,C0014,ポスティング+フリーペーパー+web,3,"ポスティング,フリーペーパー,web",ポスティング,0.255891505,0.123802506,168,42.98977281,22.02167603,22.02167603
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1110,C0014,ポスティング+フリーペーパー+web,3,"ポスティング,フリーペーパー,web",フリーペーパー,0.75061367,0.070744289,96,72.05891235,36.91245427,36.91245427
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1110,C0014,ポスティング+フリーペーパー+web,3,"ポスティング,フリーペーパー,web",web,0.32855341,0.179808401,244,80.16703204,41.06586969,41.06586969
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1111,C0015,折込+ポスティング+フリーペーパー+web,4,"折込,ポスティング,フリーペーパー,web",折込,0.026126135,0.176860722,240,6.270272344,3.109740902,3.109740902
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1111,C0015,折込+ポスティング+フリーペーパー+web,4,"折込,ポスティング,フリーペーパー,web",ポスティング,0.252801437,0.123802506,168,42.47064136,21.06331007,21.06331007
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1111,C0015,折込+ポスティング+フリーペーパー+web,4,"折込,ポスティング,フリーペーパー,web",フリーペーパー,0.750990439,0.070744289,96,72.09508215,35.75554833,35.75554833
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1111,C0015,折込+ポスティング+フリーペーパー+web,4,"折込,ポスティング,フリーペーパー,web",web,0.331136379,0.179808401,244,80.79727652,40.0714007,40.0714007
1m8,ファイナンシャルプランナー（資産運営・保険・お金の相談など）,名古屋市内,1,C0001,折込,1,折込,折込,-0.134868767,0.20119863,235,-31.69416016,100,0
1m8,ファイナンシャルプランナー（資産運営・保険・お金の相談など）,名古屋市内,10,C0002,ポスティング,1,ポスティング,ポスティング,0.23207835,0.13869863,162,37.59669273,100,100
1m8,ファイナンシャルプランナー（資産運営・保険・お金の相談など）,名古屋市内,11,C0003,折込+ポスティング,2,"折込,ポスティング",折込,-0.154013253,0.20119863,235,-36.19311434,-808.8766487,0
1m8,ファイナンシャルプランナー（資産運営・保険・お金の相談など）,名古屋市内,11,C0003,折込+ポスティング,2,"折込,ポスティング",ポスティング,0.251034602,0.13869863,162,40.66760552,908.8766487,100
1m8,ファイナンシャルプランナー（資産運営・保険・お金の相談など）,名古屋市内,100,C0004,フリーペーパー,1,フリーペーパー,フリーペーパー,0.499094417,0.082191781,96,47.91306405,100,100
1m8,ファイナンシャルプランナー（資産運営・保険・お金の相談など）,名古屋市内,101,C0005,折込+フリーペーパー,2,"折込,フリーペーパー",折込,-0.147035863,0.20119863,235,-34.55342783,-243.9003742,0
1m8,ファイナンシャルプランナー（資産運営・保険・お金の相談など）,名古屋市内,101,C0005,折込+フリーペーパー,2,"折込,フリーペーパー",フリーペーパー,0.507504721,0.082191781,96,48.72045318,343.9003742,100
